timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1723521600,102.55999755859375,2024-08-12,2024-08-12 23:00:00,U.S. Dollar Index (DXY),103.7949993133545,104.56300003051757,104.2408504486084
1723608000,102.56999969482422,2024-08-13,2024-08-13 23:00:00,U.S. Dollar Index (DXY),103.7359992980957,104.5316000366211,104.22070045471192
1723694400,102.9800033569336,2024-08-14,2024-08-14 23:00:00,U.S. Dollar Index (DXY),103.67649955749512,104.50900009155274,104.20280048370361
1723780800,102.45999908447266,2024-08-15,2024-08-15 23:00:00,U.S. Dollar Index (DXY),103.57949943542481,104.47280014038085,104.18450046539307
1724040000,101.88999938964844,2024-08-18,2024-08-18 23:00:00,U.S. Dollar Index (DXY),103.45849952697753,104.42860015869141,104.16065044403076
1724126400,101.44000244140625,2024-08-19,2024-08-19 23:00:00,U.S. Dollar Index (DXY),103.30799980163575,104.35960021972656,104.1334504699707
1724212800,101.04000091552734,2024-08-20,2024-08-20 23:00:00,U.S. Dollar Index (DXY),103.14049987792968,104.27740020751953,104.10805046081543
1724299200,101.51000213623047,2024-08-21,2024-08-21 23:00:00,U.S. Dollar Index (DXY),102.99799995422363,104.20300018310547,104.09050048828125
1724385600,100.72000122070312,2024-08-22,2024-08-22 23:00:00,U.S. Dollar Index (DXY),102.81800003051758,104.12440017700196,104.06800048828126
1724644800,100.8499984741211,2024-08-25,2024-08-25 23:00:00,U.S. Dollar Index (DXY),102.63250007629395,104.03740020751952,104.04455047607422
1724731200,100.55000305175781,2024-08-26,2024-08-26 23:00:00,U.S. Dollar Index (DXY),102.43250007629395,103.93740020751953,104.01935050964356
1724817600,101.08999633789062,2024-08-27,2024-08-27 23:00:00,U.S. Dollar Index (DXY),102.28199996948243,103.85280014038086,103.99525047302247
1724904000,101.33999633789062,2024-08-28,2024-08-28 23:00:00,U.S. Dollar Index (DXY),102.12799987792968,103.77440002441406,103.97265045166016
1724990400,101.69999694824219,2024-08-29,2024-08-29 23:00:00,U.S. Dollar Index (DXY),102.05249977111816,103.69660003662109,103.95285041809082
1725336000,101.83000183105469,2024-09-02,2024-09-02 23:00:00,U.S. Dollar Index (DXY),102.00949974060059,103.61720001220704,103.94145042419433
1725422400,101.36000061035156,2024-09-03,2024-09-03 23:00:00,U.S. Dollar Index (DXY),101.928999710083,103.535,103.92630043029786
1725508800,101.11000061035156,2024-09-04,2024-09-04 23:00:00,U.S. Dollar Index (DXY),101.82449989318847,103.445,103.9100004196167
1725595200,101.18000030517578,2024-09-05,2024-09-05 23:00:00,U.S. Dollar Index (DXY),101.72299995422364,103.34759994506835,103.89680042266846
1725854400,101.55000305175781,2024-09-08,2024-09-08 23:00:00,U.S. Dollar Index (DXY),101.6435001373291,103.26039993286133,103.88720043182373
1725940800,101.62999725341797,2024-09-09,2024-09-09 23:00:00,U.S. Dollar Index (DXY),101.56800003051758,103.17559982299805,103.8775004196167
1726027200,101.68000030517578,2024-09-10,2024-09-10 23:00:00,U.S. Dollar Index (DXY),101.52400016784668,103.09119979858399,103.86630043029785
1726113600,101.37000274658203,2024-09-11,2024-09-11 23:00:00,U.S. Dollar Index (DXY),101.46400032043456,103.00419982910157,103.85615043640136
1726200000,101.11000061035156,2024-09-12,2024-09-12 23:00:00,U.S. Dollar Index (DXY),101.37050018310546,102.91839981079102,103.84570045471192
1726459200,100.76000213623047,2024-09-15,2024-09-15 23:00:00,U.S. Dollar Index (DXY),101.28550033569336,102.83599990844726,103.83575046539306
1726545600,100.88999938964844,2024-09-16,2024-09-16 23:00:00,U.S. Dollar Index (DXY),101.23550033569336,102.75359985351562,103.82635047912598
1726632000,100.5999984741211,2024-09-17,2024-09-17 23:00:00,U.S. Dollar Index (DXY),101.1935001373291,102.66299987792969,103.81185047149658
1726718400,100.61000061035156,2024-09-18,2024-09-18 23:00:00,U.S. Dollar Index (DXY),101.17200012207032,102.57419982910156,103.798550491333
1726804800,100.72000122070312,2024-09-19,2024-09-19 23:00:00,U.S. Dollar Index (DXY),101.13250007629395,102.4997998046875,103.78395050048829
1727064000,100.91999816894531,2024-09-22,2024-09-22 23:00:00,U.S. Dollar Index (DXY),101.14249992370605,102.4363998413086,103.76830047607422
1727150400,100.37000274658203,2024-09-23,2024-09-23 23:00:00,U.S. Dollar Index (DXY),101.11850013732911,102.35999984741211,103.74940048217773
1727236800,100.91999816894531,2024-09-24,2024-09-24 23:00:00,U.S. Dollar Index (DXY),101.13699989318847,102.29299987792969,103.73630046844482
1727323200,100.55999755859375,2024-09-25,2024-09-25 23:00:00,U.S. Dollar Index (DXY),101.11049995422363,102.22919982910156,103.71905044555665
1727409600,100.41999816894531,2024-09-26,2024-09-26 23:00:00,U.S. Dollar Index (DXY),101.06450004577637,102.15419982910156,103.70065044403076
1727668800,100.77999877929688,2024-09-29,2024-09-29 23:00:00,U.S. Dollar Index (DXY),101.0185001373291,102.08179977416992,103.68520042419433
1727755200,101.19000244140625,2024-09-30,2024-09-30 23:00:00,U.S. Dollar Index (DXY),100.98650016784669,102.01939987182617,103.67680042266846
1727841600,101.68000030517578,2024-10-01,2024-10-01 23:00:00,U.S. Dollar Index (DXY),101.00250015258788,101.96399993896485,103.67540042877198
